DATE,DAY,FLIGHT NUMBER,ORIGIN,DEPARTURE TIME,ARRIVAL TIME,ARRIVAL STATUS,previous_flight_status
03/03/2016,Thursday,B6 316,JFK,1020,1095,0,1
03/03/2016,Thursday,B6 1816,JFK,1370,1439,0,0
03/03/2016,Thursday,OO 5818,ORD,898,1006,1,0
03/03/2017,Friday,B6 656,MCO,900,1063,1,0
03/03/2017,Friday,B6 1816,JFK,-61,8,1,0
03/03/2017,Friday,B6 316,JFK,585,666,1,1
03/03/2017,Friday,B6 116,JFK,779,854,0,1
03/03/2017,Friday,OO 5520,ORD,885,998,1,0
03/03/2017,Friday,OO 5450,ORD,1127,1236,2,1
03/03/2018,Saturday,B6 656,MCO,1163,1326,1,0
03/03/2018,Saturday,B6 116,JFK,438,509,1,0
03/03/2018,Saturday,9E 4010,JFK,485,574,1,1
03/03/2018,Saturday,B6 2516,JFK,1000,1078,1,1
03/03/2018,Saturday,9E 4074,JFK,1027,1118,0,1
03/03/2018,Saturday,9E 4081,JFK,1265,1343,0,0
03/03/2018,Saturday,OO 5589,ORD,902,1013,1,0
03/03/2018,Saturday,OO 3201,ORD,957,1065,0,1
03/03/2018,Saturday,OO 3026,ORD,1195,1309,1,0
03/03/2018,Saturday,OO 5375,ORD,1197,1308,2,1
03/03/2019,Sunday,B6 656,MCO,1260,1424,0,0
03/03/2019,Sunday,B6 116,JFK,458,534,1,0
03/03/2019,Sunday,9E 3401,JFK,581,659,2,1
03/03/2019,Sunday,9E 3404,JFK,1005,1091,2,2
03/03/2019,Sunday,B6 2516,JFK,1036,1114,1,2
03/03/2019,Sunday,9E 3290,JFK,1320,1407,2,1
03/03/2019,Sunday,OO 5389,ORD,465,577,0,0
03/03/2019,Sunday,UA 1419,ORD,595,705,2,0
03/03/2019,Sunday,OO 5668,ORD,900,1012,1,2
03/03/2019,Sunday,UA 607,ORD,1175,1280,1,1
03/03/2022,Thursday,B6 656,MCO,675,840,1,0
03/03/2022,Thursday,B6 116,JFK,564,641,1,0
03/03/2022,Thursday,9E 5446,JFK,750,825,0,1
03/03/2022,Thursday,OO 3253,ORD,820,927,0,0
03/03/2022,Thursday,YX 3467,ORD,885,1001,0,0
03/03/2022,Thursday,UA 1094,ORD,1150,1259,1,0
03/03/2023,Friday,B6 56,MCO,847,1011,1,0
03/03/2023,Friday,9E 5350,JFK,590,678,1,0
03/03/2023,Friday,B6 116,JFK,810,883,1,1
03/03/2023,Friday,9E 5224,JFK,990,1079,2,1
03/03/2023,Friday,B6 16,JFK,1295,1367,2,2
03/03/2023,Friday,9E 5009,JFK,1350,1437,1,2
03/03/2023,Friday,OO 5533,ORD,490,602,0,0
03/03/2023,Friday,YX 4401,ORD,860,984,0,0
03/03/2023,Friday,UA 538,ORD,1169,1276,2,0
03/04/2006,Saturday,B6 68,JFK,590,655,2,0
03/04/2006,Saturday,B6 72,JFK,920,990,2,2
03/04/2006,Saturday,B6 22,JFK,1375,1439,1,2
03/04/2006,Saturday,OO 6844,ORD,600,706,0,0
03/04/2006,Saturday,OO 5802,ORD,1330,1432,2,0
03/04/2007,Sunday,B6 660,MCO,905,1075,2,0
03/04/2007,Sunday,B6 1042,JFK,420,500,0,0
03/04/2007,Sunday,B6 68,JFK,575,646,0,0
03/04/2007,Sunday,B6 72,JFK,920,990,2,0
03/04/2007,Sunday,B6 22,JFK,1360,1427,1,2
03/04/2007,Sunday,OO 5840,ORD,604,705,1,0
03/04/2007,Sunday,OO 5844,ORD,855,956,1,1
03/04/2007,Sunday,OO 6438,ORD,1035,1148,2,1
03/04/2007,Sunday,OO 6446,ORD,1180,1292,1,2
03/04/2009,Wednesday,B6 668,MCO,776,935,2,0
03/04/2009,Wednesday,B6 664,MCO,1095,1253,1,2
03/04/2009,Wednesday,B6 80,JFK,405,475,2,0
03/04/2009,Wednesday,B6 42,JFK,670,745,0,2
03/04/2009,Wednesday,B6 16,JFK,1020,1112,0,0
03/04/2009,Wednesday,B6 22,JFK,1360,1439,0,0
03/04/2009,Wednesday,OO 5988,ORD,614,720,0,0
03/04/2010,Thursday,B6 668,MCO,705,865,2,0
03/04/2010,Thursday,B6 660,MCO,1145,1304,1,2
03/04/2010,Thursday,B6 22,JFK,-75,5,2,0
03/04/2010,Thursday,B6 44,JFK,480,564,0,2
03/04/2010,Thursday,B6 42,JFK,629,707,0,0
03/04/2010,Thursday,B6 62,JFK,873,961,2,0
03/04/2010,Thursday,OO 6752,ORD,442,548,0,0
03/04/2011,Friday,B6 664,MCO,650,809,1,0
03/04/2011,Friday,B6 660,MCO,1140,1296,1,1
03/04/2011,Friday,B6 42,JFK,630,696,2,0
03/04/2011,Friday,B6 62,JFK,1020,1107,2,2
03/04/2011,Friday,B6 22,JFK,1365,1435,2,2
03/04/2012,Sunday,B6 664,MCO,480,639,0,0
03/04/2012,Sunday,B6 658,MCO,1039,1200,1,0
03/04/2012,Sunday,B6 44,JFK,457,534,0,0
03/04/2012,Sunday,B6 12,JFK,890,977,0,0
03/04/2012,Sunday,B6 22,JFK,1370,1438,0,0
03/04/2013,Monday,B6 664,MCO,947,1110,2,0
03/04/2013,Monday,B6 658,MCO,1045,1206,1,2
03/04/2013,Monday,B6 44,JFK,450,523,0,0
03/04/2013,Monday,B6 12,JFK,958,1048,2,0
03/04/2013,Monday,B6 22,JFK,1371,1437,0,2
03/04/2014,Tuesday,B6 656,MCO,712,875,2,0
03/04/2014,Tuesday,B6 116,JFK,558,629,1,0
03/04/2014,Tuesday,B6 316,JFK,739,811,0,1
03/04/2014,Tuesday,B6 1816,JFK,1355,1421,1,0
03/04/2014,Tuesday,OO 5269,ORD,458,566,2,0
03/04/2015,Wednesday,B6 656,MCO,883,1046,1,0
03/04/2015,Wednesday,B6 116,JFK,577,657,0,0
03/04/2015,Wednesday,B6 316,JFK,790,871,0,0
03/04/2015,Wednesday,B6 1816,JFK,1349,1419,1,0
03/04/2015,Wednesday,OO 6443,ORD,854,959,1,0
03/04/2016,Friday,B6 656,MCO,1160,1323,1,0
03/04/2016,Friday,B6 116,JFK,555,629,1,0
03/04/2016,Friday,B6 316,JFK,1020,1095,1,1
03/04/2016,Friday,B6 1816,JFK,1370,1439,0,1
03/04/2016,Friday,OO 5818,ORD,898,1006,2,0
03/04/2017,Saturday,B6 656,MCO,900,1063,0,0
03/04/2017,Saturday,B6 1816,JFK,-61,8,1,0
03/04/2017,Saturday,B6 316,JFK,585,666,2,1
03/04/2017,Saturday,B6 116,JFK,779,854,0,2
03/04/2018,Sunday,B6 656,MCO,1163,1326,1,0
03/04/2018,Sunday,B6 1816,JFK,-70,2,2,0
03/04/2018,Sunday,B6 116,JFK,438,509,2,2
